ITEM,AGENCIA,ALMACEN,GRUPO,CLASE,FAMILIA,PRODUCTO,VARIACION,MEDIDA,MODELO,MARCA,TIPO,CANTIDAD TOTAL,CANTIDAD,UNIDAD,TIPO,SERIE/LOTE,SERIE/LOTE ADICIONAL,COSTO S/,VALOR S/,FECHA INGRESO,DIAS ALMACEN
51,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,MOTOR,MOTOR A GASOLINA  GE200 CRAFTOP,A GASOLINA,,GE200,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#54 102021030086,,386.609649,386.609649,27-02-2024,76
52,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  20"" NT5260 CRAFTOP",,"20""",NT5260,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#52 210529574,,432.41139,432.41139,27-02-2024,76
53,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  22"" NT5860 CRAFTOP",,"22""",NT5860,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#182 210529718,,370.010553,370.010553,27-02-2024,76
54,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  24"" NT6020 CRAFTOP",,"24""",NT6020,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#76 210429178,,488.81188,488.81188,27-02-2024,76
55,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,MOTOSIERRA,"MOTOSIERRA  36"" NT9260 CRAFTOP",,"36""",NT9260,CRAFTOP,PRODUCTO,1,1,U. MIN,,220524339,,826.02934,826.02934,06-03-2024,68
56,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,PULVERIZADOR,PULVERIZADOR   GMD420 CRAFTOP,,,GMD420,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#101 082020080063,,625.903347,625.903347,27-02-2024,76
57,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,AGRICOLA,PULVERIZADOR,PULVERIZADOR   GS768 CRAFTOP,,,GS768,CRAFTOP,PRODUCTO,1,1,U. MIN,GENERAL,#127 082020090462,,416.454963,416.454963,27-02-2024,76
58,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,LUBRICANTES,ACEITE,ACEITE 2T 100ML V8   GERMAN LUBRICANTS,2T 100ML V8,,,GERMAN LUBRICANTS,PRODUCTO,192,192,U. MIN,,,,1.996479,383.323968,,
59,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,BASE COMPLETA SOPORTE DE TIMON,BASE COMPLETA SOPORTE DE TIMON   NTB330D-NTB430D-NTB520D CRAFTOP,,,NTB330D-NTB430D-NTB520D,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,15.794022,31.588044,,
60,CRAFTOP MARTINEZ 475,CRAFTOP MARTINEZ 475,GENERICO,REPUESTO,BASE Y FILTRO DE AIRE,BASE Y FILTRO DE AIRE COMPLETO  NTB430D-NTB520D-NTBG520D-NTMU430D4IN1-NTA520E10A CRAFTOP,COMPLETO,,NTB430D-NTB520D-NTBG520D-NTMU430D4IN1-NTA520E10A,CRAFTOP,PRODUCTO,2,2,U. MIN,,,,0.872308,1.744616,,
